Post Url,Raw Caption,Skater,Pants
"https://www.instagram.com/p/CCGWLKLFjbj/
","@leovallsconnected wearing @magentaskateboards Plant Tracksuit Pants.  What a great fit!
",@leovallsconnected,@magentaskateboards Plant Tracksuit Pants
"https://www.instagram.com/p/CCDp_k0lybl/
","@robertpace_ wearing @volcom billow pants.  What a great fit!
",@robertpace_,@volcom billow pants
"https://www.instagram.com/p/CCBK1oCl6nJ/
","@oski wearing @polarskateco corduroy surf pants.  What a great fit!
",@oski,@polarskateco corduroy surf pants
"https://www.instagram.com/p/CB_pwMyFtOl/
","@adriel.skt wearing @dgk O.G.S. Cargo Pants.  What a great fit!
",@adriel.skt,@dgk O.G.S. Cargo Pants
"https://www.instagram.com/p/CB-l3DSFOtg/
","@bennetttoby wearing @levis 550 jeans.  What a great fit!
",@bennetttoby,@levis 550 jeans
"https://www.instagram.com/p/CB85Ry5FloC/
","@bigt100000 wearing @bananarepublic corduroys.  What a great fit!
",@bigt100000,@bananarepublic corduroys
"https://www.instagram.com/p/CB8Fp0kFRFN/
","@noravexplora wearing @loutre.co Bleached Cherry Pie Pants.  What a great fit!
",@noravexplora,@loutre.co Bleached Cherry Pie Pants
"https://www.instagram.com/p/CB6asdRFHlY/
","@judfarhat wearing @levis action slacks.  What a great fit!
",@judfarhat,@levis action slacks
"https://www.instagram.com/p/CB5bOgllwLf/
","@leovallsconnected wearing @dc_skateboarding Worker Relaxed Fit Jean.  What a great fit!
",@leovallsconnected,@dc_skateboarding Worker Relaxed Fit Jean
"https://www.instagram.com/p/CB22iN5ljwR/
","@_simonperrottet_ wearing @242ftp pants.  What a great fit!
",@_simonperrottet_,@242ftp pants
"https://www.instagram.com/p/CB0Rk8FlQbH/
","@erikhherrera wearing @levis 550 relaxed fit jeans.  What a great fit!
",@erikhherrera,@levis 550 relaxed fit jeans
"https://www.instagram.com/p/CBxybnxl4qJ/
","@philceja wearing @dickiesskate 874 Chinos.  What a great fit!
",@philceja,@dickiesskate 874 Chinos
"https://www.instagram.com/p/CBwXBMFlOuc/
","@frank.mp2 wearing @georgeatasda trousers.  What a great fit!
",@frank.mp2,@georgeatasda trousers
"https://www.instagram.com/p/CBvEzx8FVsK/
","@3v4n1 wearing @polarskateco surf pants.  What a great fit!
",@3v4n1,@polarskateco surf pants
"https://www.instagram.com/p/CBtVfCpl4rG/
","@johnnywornout wearing @511tactical pants.  What a great fit!
",@johnnywornout,@511tactical pants
"https://www.instagram.com/p/CBszhVeFw8V/
","@jeremy_leabres wearing @rvcaskate americana denim.  What a great fit!
",@jeremy_leabres,@rvcaskate americana denim
"https://www.instagram.com/p/CBqSp2RF4Ss/
","@ceeblues wearing @ceebluesstore samples.  What a great fit!
",@ceeblues,@ceebluesstore samples
"https://www.instagram.com/p/CBndj6gFdLn/
","@nappyfriedchicken wearing @metropolitanusa painter pants.  What a great fit!
",@nappyfriedchicken,@metropolitanusa painter pants
"https://www.instagram.com/p/CBltgiuFTs8/
","@danilebron wearing @nikesb chinos.  What a great fit!
",@danilebron,@nikesb chinos
